"ballot_id","MP_id","surname","origin","party","gvt_party_at_home","vote_type_id","vote_id","ballot_pass","ft_process_step","ft_topic_id","ft_topic","ft_for","ft_against","ft_abstention","ft_absent","ballot_date","ballot_type_id","gvt_type_dk","gvt_bloc_dk","comment","ballot_result_string"
283,"294","Jakobsen","GL","SIU",TRUE,"3","113812",TRUE,"Behandling",167,"Folketinget udtaler sin støtte til de aktuelle fredsforhandlinger mellem Israel og Palæstina om en tostatsløsning. Folketinget håber på enighed mellem parterne om indholdet af en fredsaftale.
Samtidig udtaler Folketinget sin støtte til
- Israels ret til fred og sikkerhed,
- Palæstinas ret til en levedygtig, sammenhængende og demokratisk stat med udgangspunkt i 1967-grænser og med fuld suverænitet over eget område,
- en forhandlet løsning om Jerusalem som hovedstad for to stater,
- en normalisering af forholdet mellem Israel og alle arabiske lande, og 
- regeringens indsatser for bedre levevilkår og opbygningen af velfungerende institutioner for palæstinenserne.
Folketinget opfordrer regeringen til at arbejde for parternes efterlevelse af Genevekonventionerne og andre internationale forpligtelser, herunder:
- at alvorlige overgreb begået af konfliktens parter ikke må forblive ustraffede, og
- at israelske bosættelser ikke gennem aftaler mellem Israel og EU eller gennem danske offentlige eller private engagementer får legitimeret deres eksistens eller forbedrede økonomiske muligheder.",91,13,0,75,2014-01-23,3,"coalition","left",NA,"Vedtaget

91 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

13 stemmer imod forslaget (DF)

0 stemmer hverken for eller imod forslaget

"
283,"13","Olsvig","GL","IA",FALSE,"3","113827",TRUE,"Behandling",167,"Folketinget udtaler sin støtte til de aktuelle fredsforhandlinger mellem Israel og Palæstina om en tostatsløsning. Folketinget håber på enighed mellem parterne om indholdet af en fredsaftale.
Samtidig udtaler Folketinget sin støtte til
- Israels ret til fred og sikkerhed,
- Palæstinas ret til en levedygtig, sammenhængende og demokratisk stat med udgangspunkt i 1967-grænser og med fuld suverænitet over eget område,
- en forhandlet løsning om Jerusalem som hovedstad for to stater,
- en normalisering af forholdet mellem Israel og alle arabiske lande, og 
- regeringens indsatser for bedre levevilkår og opbygningen af velfungerende institutioner for palæstinenserne.
Folketinget opfordrer regeringen til at arbejde for parternes efterlevelse af Genevekonventionerne og andre internationale forpligtelser, herunder:
- at alvorlige overgreb begået af konfliktens parter ikke må forblive ustraffede, og
- at israelske bosættelser ikke gennem aftaler mellem Israel og EU eller gennem danske offentlige eller private engagementer får legitimeret deres eksistens eller forbedrede økonomiske muligheder.",91,13,0,75,2014-01-23,3,"coalition","left",NA,"Vedtaget

91 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

13 stemmer imod forslaget (DF)

0 stemmer hverken for eller imod forslaget

"
284,"247","Joensen","FO","B",TRUE,"3","113979",TRUE,"3. behandling",4975,"Forslag til lov om ændring af lov om erhvervsfremme og forskellige andre love. (Ny regional vækst- og udviklingsstrategi, udvidelse af Danmarks Vækstråds opgaver m.v.).",92,13,0,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

92 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

13 stemmer imod forslaget (DF)

0 stemmer hverken for eller imod forslaget

"
284,"262","Skaale","FO","C",FALSE,"3","113987",TRUE,"3. behandling",4975,"Forslag til lov om ændring af lov om erhvervsfremme og forskellige andre love. (Ny regional vækst- og udviklingsstrategi, udvidelse af Danmarks Vækstråds opgaver m.v.).",92,13,0,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

92 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

13 stemmer imod forslaget (DF)

0 stemmer hverken for eller imod forslaget

"
284,"294","Jakobsen","GL","SIU",TRUE,"3","113991",TRUE,"3. behandling",4975,"Forslag til lov om ændring af lov om erhvervsfremme og forskellige andre love. (Ny regional vækst- og udviklingsstrategi, udvidelse af Danmarks Vækstråds opgaver m.v.).",92,13,0,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

92 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

13 stemmer imod forslaget (DF)

0 stemmer hverken for eller imod forslaget

"
284,"13","Olsvig","GL","IA",FALSE,"3","114006",TRUE,"3. behandling",4975,"Forslag til lov om ændring af lov om erhvervsfremme og forskellige andre love. (Ny regional vækst- og udviklingsstrategi, udvidelse af Danmarks Vækstråds opgaver m.v.).",92,13,0,74,2014-01-23,1,"coalition","left",NA,"Vedtaget

92 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

13 stemmer imod forslaget (DF)

0 stemmer hverken for eller imod forslaget

"
285,"247","Joensen","FO","B",TRUE,"3","114158",TRUE,"3. behandling",4973,"Forslag til lov om ændring af lov om kommuners udførelse af opgaver for andre offentlige myndigheder og kommuners og regioners deltagelse i selskaber. (Regioners mulighed for at udføre opgaver for andre offentlige myndigheder m.v.).",58,45,0,76,2014-01-23,1,"coalition","left",NA,"Vedtaget

58 stemmer for forslaget (S, RV, SF, EL, LA, UFG)

45 stemmer imod forslaget (V, DF, KF)

0 stemmer hverken for eller imod forslaget

"
285,"262","Skaale","FO","C",FALSE,"3","114166",TRUE,"3. behandling",4973,"Forslag til lov om ændring af lov om kommuners udførelse af opgaver for andre offentlige myndigheder og kommuners og regioners deltagelse i selskaber. (Regioners mulighed for at udføre opgaver for andre offentlige myndigheder m.v.).",58,45,0,76,2014-01-23,1,"coalition","left",NA,"Vedtaget

58 stemmer for forslaget (S, RV, SF, EL, LA, UFG)

45 stemmer imod forslaget (V, DF, KF)

0 stemmer hverken for eller imod forslaget

"
285,"294","Jakobsen","GL","SIU",TRUE,"3","114170",TRUE,"3. behandling",4973,"Forslag til lov om ændring af lov om kommuners udførelse af opgaver for andre offentlige myndigheder og kommuners og regioners deltagelse i selskaber. (Regioners mulighed for at udføre opgaver for andre offentlige myndigheder m.v.).",58,45,0,76,2014-01-23,1,"coalition","left",NA,"Vedtaget

58 stemmer for forslaget (S, RV, SF, EL, LA, UFG)

45 stemmer imod forslaget (V, DF, KF)

0 stemmer hverken for eller imod forslaget

"
285,"13","Olsvig","GL","IA",FALSE,"3","114185",TRUE,"3. behandling",4973,"Forslag til lov om ændring af lov om kommuners udførelse af opgaver for andre offentlige myndigheder og kommuners og regioners deltagelse i selskaber. (Regioners mulighed for at udføre opgaver for andre offentlige myndigheder m.v.).",58,45,0,76,2014-01-23,1,"coalition","left",NA,"Vedtaget

58 stemmer for forslaget (S, RV, SF, EL, LA, UFG)

45 stemmer imod forslaget (V, DF, KF)

0 stemmer hverken for eller imod forslaget

"
